date,Historical,LSTM_F5_Nothing,GRU_F5_Nothing,LSTM_F5_TI189,GRU_F5_TI189,LSTM_F5_Futures,GRU_F5_Futures,LSTM_F5_Category,GRU_F5_Category,LSTM_F5_XGBTI15,GRU_F5_XGBTI15
2020-12-25,11.399999618530273,11.2565336227417,10.604531288146973,10.5348482131958,10.477660179138184,10.790403366088867,10.666584968566896,10.664816856384276,10.760515213012695,10.755725860595703,10.625694274902344
2020-12-28,11.550000190734865,11.731913566589355,11.10992431640625,11.19290542602539,10.917471885681152,11.279223442077635,11.06900691986084,11.213051795959473,11.258140563964844,11.287192344665527,11.30585479736328
2020-12-29,11.5,12.03526210784912,11.49410629272461,11.54925537109375,11.190204620361328,11.499963760375975,11.398652076721193,11.602684020996096,11.59897518157959,11.527494430541992,11.677820205688475
2020-12-30,11.649998664855955,11.838157653808596,11.310312271118164,11.574142456054688,11.128546714782717,11.23611545562744,11.1621675491333,11.48427963256836,11.374006271362305,11.274885177612305,11.40257167816162
2020-12-31,11.449999809265135,12.263216972351074,11.726580619812012,11.730019569396973,11.343868255615234,11.467287063598633,11.587597846984865,11.752365112304688,11.71852207183838,11.683340072631836,11.809090614318848
2021-01-04,11.649998664855955,12.085097312927244,11.422629356384276,11.63629150390625,11.278851509094238,11.355584144592285,11.349485397338867,11.688695907592773,11.515052795410154,11.51752758026123,11.481637001037598
2021-01-05,11.550000190734865,12.141334533691404,11.587576866149902,11.717370986938475,11.605627059936525,11.36781406402588,11.49102020263672,11.782522201538086,11.659541130065918,11.606468200683596,11.635942459106445
2021-01-06,11.600000381469727,12.086625099182127,11.522523880004885,11.660109519958494,11.54199504852295,11.324527740478516,11.451292037963867,11.65221118927002,11.543845176696776,11.549844741821287,11.550347328186035
2021-01-07,11.050000190734863,12.326462745666506,11.72745418548584,11.59898281097412,11.617974281311035,11.576337814331055,11.677970886230467,11.716736793518065,11.7295503616333,11.796686172485352,11.773943901062012
2021-01-08,11.300000190734865,12.089701652526855,11.234492301940918,11.469640731811525,11.369236946105955,11.534649848937988,11.305868148803713,11.37455940246582,11.422524452209473,11.445205688476562,11.30441951751709
2021-01-11,10.899999618530273,11.862781524658205,11.228498458862305,11.592360496520994,11.520222663879395,11.32667064666748,11.193405151367188,11.450292587280273,11.379152297973633,11.293829917907715,11.32754611968994
2021-01-12,10.850000381469727,11.628680229187012,10.950691223144533,11.195380210876463,11.115643501281738,11.089303970336914,10.9390230178833,11.17598819732666,11.096786499023438,11.040900230407717,11.045419692993164
2021-01-13,10.350000381469727,11.451385498046875,10.84596347808838,11.041048049926758,10.954687118530273,10.878389358520508,10.806173324584961,10.983861923217773,10.881314277648926,10.904505729675293,10.94316864013672
2021-01-14,10.600000381469727,11.226239204406738,10.49828052520752,10.677847862243652,10.740181922912598,10.700868606567383,10.516695022583008,10.55303192138672,10.5361909866333,10.646600723266602,10.56863784790039
2021-01-15,10.5,11.130517959594727,10.572432518005373,10.646673202514648,10.839312553405762,10.580885887145996,10.523155212402344,10.610342979431152,10.631957054138184,10.642003059387207,10.67792797088623
2021-01-18,10.100000381469727,10.976022720336914,10.415803909301758,10.62426471710205,10.795797348022461,10.429265975952148,10.386483192443848,10.454718589782717,10.426631927490234,10.519901275634766,10.50709056854248
2021-01-19,10.149998664855957,10.853979110717773,10.24467945098877,10.339555740356444,10.597066879272461,10.327997207641602,10.232428550720217,10.10845947265625,10.157358169555664,10.359079360961914,10.324233055114746
2021-01-20,10.100000381469727,10.635939598083496,10.017918586730957,10.256772994995117,10.495356559753418,10.152545928955078,9.995002746582033,9.865752220153807,9.905439376831056,10.19583225250244,10.131550788879396
2021-01-21,9.68000030517578,10.557621002197266,10.06303596496582,10.22120475769043,10.514351844787598,10.046592712402344,10.02765655517578,9.93175220489502,9.97824478149414,10.148144721984863,10.185307502746582
2021-01-22,9.600000381469727,10.496576309204102,9.899862289428713,9.96519947052002,10.30105686187744,10.013314247131348,9.904545783996582,9.708662033081056,9.824153900146484,10.02386474609375,10.013568878173828
2021-01-25,9.550000190734863,10.249777793884276,9.65758228302002,9.81066608428955,10.105185508728027,9.82734203338623,9.649909973144533,9.6091890335083,9.652569770812988,9.798842430114746,9.743234634399414
2021-01-26,9.75999927520752,10.06607723236084,9.512408256530762,9.77138614654541,10.017888069152832,9.644121170043944,9.496219635009766,9.582179069519043,9.538414001464844,9.643080711364746,9.600296020507812
2021-01-27,9.670000076293944,10.038046836853027,9.588712692260742,9.866073608398438,10.010396003723145,9.560855865478516,9.545040130615234,9.66616916656494,9.65975284576416,9.680190086364746,9.71018123626709
2021-01-28,9.59000015258789,10.142807960510254,9.72823715209961,9.837425231933594,9.95172119140625,9.614753723144533,9.698460578918457,9.648619651794434,9.704785346984863,9.751157760620117,9.795353889465332
2021-01-29,9.40999984741211,10.095932006835938,9.630715370178224,9.726598739624023,9.8701810836792,9.597649574279783,9.612377166748047,9.595717430114746,9.646934509277344,9.680425643920898,9.639474868774414
2021-02-01,9.260000228881836,9.938261032104492,9.417207717895508,9.601408004760742,9.728574752807617,9.495424270629883,9.41324234008789,9.386937141418457,9.430929183959961,9.527326583862305,9.444427490234377
2021-02-02,9.350000381469727,9.83243179321289,9.326836585998537,9.475712776184082,9.537496566772461,9.405911445617676,9.330236434936523,9.237275123596193,9.306074142456056,9.417295455932617,9.384507179260254
2021-02-03,9.5,9.732258796691896,9.244047164916992,9.54647731781006,9.604820251464844,9.316169738769533,9.22740077972412,9.31398105621338,9.397466659545898,9.369370460510254,9.334857940673828
