name,LSTM_F5_TI189,GRU_F5_TI189,LSTM_F5_XGBTI15,GRU_F5_XGBTI15,LSTM_F5_Futures,GRU_F5_Futures,LSTM_F5_Category,GRU_F5_Category,LSTM_F5_Nothing,GRU_F5_Nothing
台塑(1301),2.52517659164666,2.4372735529642053,1.893126983893417,1.9586046788413238,1.942221395575791,1.9077615217166624,2.0328256218125325,2.0472864800278763,1.9592967673324144,1.935898642038393
南亞(1303),2.873456789567017,4.038433210392343,1.697488188555023,1.8041149073246905,1.9884804136881356,1.5775189888562442,2.0973569631625693,2.2816265265772593,1.8398633822225847,1.4593841127686995
台聚(1304),7.790139142068209,8.006894002202102,3.781701935802186,2.854386444169088,3.776141664781336,2.5680597979098674,3.672050958840813,2.588591259814532,2.3868224375876346,2.1773410869646432
華夏(1305),6.301716271001504,6.8119951813569335,1.5550735991008933,1.982346226042768,1.383460932710469,1.814722277303292,1.5415478308300845,2.120567748322564,1.4358677927060322,1.6807618719496182
亞聚(1308),2.983885080758121,3.4505681717222507,1.5413755279433692,1.679212494154597,1.2985434772379485,1.564152949535046,2.6400310141735717,2.0018576101452337,1.504211870326145,1.4214981753525109
台達化(1309),6.717132799556296,7.534629221946296,3.4121307564531143,3.614246466308859,2.8272215522443327,3.2739119083528783,2.704894881118601,3.1831726919122127,2.6525468032259947,3.2077815749753698
國喬(1312),0.7908386032389831,0.8359334000816697,0.8545358875544308,0.8213650444889219,0.8705500800655644,0.8474529040031229,0.8299638377780055,1.0224663006515264,1.1368258186594924,0.8510900814396829
聯成(1313),6.083235369725273,6.1392081375692475,1.9448155760423391,1.8331891855733684,1.1312974993602327,1.68535972785099,2.1242236794978893,1.5025723176839094,1.3293003939779036,1.2147901713340756
中石化(1314),0.4755492460600037,0.566870479418511,0.4431423042372882,0.4441435512691244,0.4810375165643286,0.4595419560871163,0.5165873996112846,0.4849497400128743,0.436247890133934,0.4464876830611744
台化(1326),1.7408122292434416,1.6736773464168826,1.7257251348736402,1.4154582853864213,1.7644270487292684,1.4480665207120087,1.4389764418327131,1.4222538202388348,1.759227335883762,1.445710740768959
中鋼(2002),7.626510220414697,7.6719172645538976,3.1257033510233554,1.7676343034278632,1.9519952176731183,1.3770390909833727,2.6574677312691524,1.8156315289640972,2.8404830779659536,1.6886143713643509
東和鋼鐵(2006),8.40279910362487,10.230457563710953,2.700334199779136,3.4619461553078748,2.527059500745164,2.5243304771885047,3.5840833603496933,2.5133739374896247,2.1886605590113835,2.8238532751886565
春源(2010),5.1974537043782565,5.099935134774388,3.919211528071688,2.8375545546879057,2.6642026444878386,1.51388827838166,2.907830741616026,2.0719562267186613,2.7099853074636218,1.4880029613403878
中鴻(2014),19.0401756765772,18.544126928887422,6.191417648353072,8.204559491389768,6.928218371872354,6.017081740724532,9.44957804065792,6.45920378038675,10.196361595928318,6.383905510951263
燁輝(2023),5.274617200222847,5.388322686844533,2.6221326880965377,2.193754355923493,1.9500972014434343,1.449040075428473,1.948161601070637,2.085314939941369,2.1584254914078524,1.4475108156475467
大成鋼(2027),2.6398849804704607,3.0844311864618663,2.1479762466509627,2.022299545973296,2.2467494372431567,2.0218209543920183,2.291777475163438,2.0246306329752324,2.3084401758947126,2.011037648277756
威致(2028),9.233153389876945,11.491128568012874,6.11988087257679,4.079848586620108,4.5107334134399935,2.907667573149032,4.17445596588154,4.4772409720498345,3.485787691174248,3.938970987360788
彰源(2030),3.6989480456323127,4.130426478868602,2.139562746993304,1.6162870544764818,1.9753270566524948,1.4757699605531165,1.5131146592831133,1.3726331540608858,1.529445285343472,1.4396413527342715
新光鋼(2031),12.880772157826405,13.426439284135833,5.339547808356948,4.955021155318937,5.745917156106912,3.985526842162116,5.5642349452114885,4.560649130612188,7.495057830078478,4.811445046264951
海光(2038),14.13769446929826,14.897639636803104,5.062862241995223,8.248295000929785,6.509537375517689,5.435856537902668,9.867570617438558,4.984159745976557,6.914350221326245,4.725639517965772
