model,rmsevalue
LSTM_F5_TI189,12.880772157826405
GRU_F5_TI189,13.426439284135833
LSTM_F5_XGBTI15,5.339547808356948
GRU_F5_XGBTI15,4.955021155318937
LSTM_F5_Futures,5.745917156106912
GRU_F5_Futures,3.985526842162116
LSTM_F5_Category,5.5642349452114885
GRU_F5_Category,4.560649130612188
LSTM_F5_Nothing,7.495057830078478
GRU_F5_Nothing,4.811445046264951
