model,rmsevalue
GRU_F5_TI189,1.6736773464168826
LSTM_F5_TI189,1.7408122292434416
GRU_F5_XGBTI15,1.4154582853864213
LSTM_F5_XGBTI15,1.7257251348736402
GRU_F5_Futures,1.4480665207120087
LSTM_F5_Futures,1.7644270487292684
GRU_F5_Category,1.4222538202388348
LSTM_F5_Category,1.4389764418327131
GRU_F5_Nothing,1.445710740768959
LSTM_F5_Nothing,1.759227335883762
