model,rmsevalue
GRU_F5_TI189,10.230457563710953
LSTM_F5_TI189,8.40279910362487
GRU_F5_XGBTI15,3.4619461553078748
LSTM_F5_XGBTI15,2.7003341997791357
GRU_F5_Futures,2.5243304771885047
LSTM_F5_Futures,2.527059500745164
GRU_F5_Category,2.5133739374896247
LSTM_F5_Category,3.5840833603496933
GRU_F5_Nothing,2.8238532751886565
LSTM_F5_Nothing,2.1886605590113835
