date,Historical,LSTM_F5_TI189,GRU_F5_TI189,LSTM_F5_XGBTI15,GRU_F5_XGBTI15,LSTM_F5_Futures,GRU_F5_Futures,LSTM_F5_Category,GRU_F5_Category,LSTM_F5_Nothing,GRU_F5_Nothing
2020-12-25,79.0999984741211,78.65930938720703,79.47502136230469,79.46533203125,78.66464233398438,79.8639907836914,79.21320343017578,80.10919189453125,79.05992889404297,79.84158325195312,79.37275695800781
2020-12-28,79.5999984741211,79.0557632446289,79.87490844726562,79.18817901611328,79.08332824707031,79.521484375,79.08008575439453,79.79911804199219,79.21549224853516,79.54175567626953,79.1603012084961
2020-12-29,80.80000305175781,78.90967559814453,79.71044158935547,79.20024871826172,79.36881256103516,79.3268051147461,79.34339904785156,79.83858489990234,79.41633605957031,79.41203308105469,79.29248809814453
2020-12-30,81.4000015258789,80.21173858642578,81.21565246582031,79.7572250366211,80.3783187866211,79.65583801269531,80.30171203613281,80.63465881347656,80.52523040771484,79.76954650878906,80.19878387451172
2020-12-31,84.5,80.9463882446289,81.71310424804688,80.56651306152344,81.36359405517578,80.56550598144531,81.45496368408203,81.69517517089844,81.4161376953125,80.6507339477539,81.36151885986328
2021-01-04,84.69999694824219,82.86333465576172,83.2347412109375,82.35396575927734,83.89163970947266,82.24600219726562,83.8665542602539,83.78318786621094,83.69569396972656,82.31973266601562,83.70654296875
2021-01-05,84.5999984741211,84.13756561279297,84.02731323242188,83.78414154052734,84.70010375976562,84.18419647216797,85.19782257080078,85.27932739257812,84.90370178222656,84.12540435791016,85.11991882324219
2021-01-06,83.30000305175781,84.11003112792969,84.48228454589844,84.3062973022461,84.1280517578125,85.09051513671875,84.90799713134766,85.26719665527344,84.56307983398438,84.95770263671875,85.02244567871094
2021-01-07,83.30000305175781,82.98302459716797,83.70338439941406,84.01124572753906,83.35736846923828,84.8459243774414,83.91032409667969,84.42240905761719,83.37744140625,84.8310317993164,84.01937866210938
2021-01-08,85.80000305175781,83.02133178710938,83.87522888183594,83.73224639892578,83.37342071533203,84.16973114013672,83.49777221679688,83.84371185302734,83.08529663085938,84.3508071899414,83.54568481445312
2021-01-11,86.30000305175781,83.94269561767578,84.88253021240234,84.507568359375,85.18280792236328,84.34252166748047,85.1217269897461,85.21504211425781,85.14158630371094,84.66461944580078,84.9919662475586
2021-01-12,86.30000305175781,84.4916000366211,86.05244445800781,85.3631362915039,85.85930633544922,85.20915985107422,86.29945373535156,86.40536499023438,86.10245513916016,85.48419952392578,86.21057891845703
2021-01-13,85.49999237060547,84.71646118164062,86.72586822509766,85.75537109375,85.67094421386719,85.92435455322266,86.30374908447266,86.63682556152344,86.1529769897461,86.02384948730469,86.38179779052734
2021-01-14,85.9000015258789,84.48031616210938,86.07152557373047,85.7739028930664,85.56571197509766,86.24391174316406,86.05982208251953,86.34028625488281,85.53925323486328,86.2545394897461,86.2273178100586
2021-01-15,85.39999389648438,84.76885986328125,85.73088073730469,85.92613983154297,86.01056671142578,86.33800506591797,86.1017074584961,86.42601776123047,85.94581604003906,86.35389709472656,86.16905212402344
2021-01-18,83.9000015258789,84.22508239746094,84.70133972167969,85.66356658935547,85.1319351196289,85.96772766113281,85.54305267333984,86.02906036376953,85.34745025634766,86.0711669921875,85.61920166015625
2021-01-19,82.0999984741211,83.32159423828125,83.5185317993164,84.89173889160156,84.02344512939453,85.19047546386719,84.44264221191406,84.94783020019531,83.99592590332031,85.3765869140625,84.64201354980469
2021-01-20,83.0999984741211,82.1058349609375,82.8453140258789,83.31096649169922,81.6427993774414,83.58952331542969,82.18804168701172,83.20906066894531,82.11040496826172,83.84638977050781,82.48583221435547
2021-01-21,81.0,82.47659301757812,83.5593032836914,82.58904266357422,82.15704345703125,82.35649871826172,82.03292083740234,82.66141510009766,82.03129577636719,82.67505645751953,82.08501434326172
2021-01-22,80.9000015258789,80.93405151367188,82.3263168334961,81.73422241210938,81.09556579589844,81.47122955322266,81.40559387207031,81.96458435058594,81.03907012939453,81.8716049194336,81.5893783569336
2021-01-25,80.69999694824219,80.5962905883789,81.91580200195312,81.16255187988281,80.86547088623047,80.9884033203125,80.97844696044922,81.69341278076172,80.9222183227539,81.28751373291016,81.10037231445312
2021-01-26,82.0999984741211,79.90476989746094,81.04898071289062,80.79354095458984,80.71175384521484,80.80186462402344,80.89811706542969,81.57183837890625,80.87773895263672,80.98983764648438,81.1137466430664
2021-01-27,80.49999237060547,81.13101959228516,82.29672241210938,80.95960998535156,81.19387817382812,80.88302612304688,81.3489761352539,81.82077026367188,81.40040588378906,80.9758529663086,81.35356140136719
2021-01-28,80.0999984741211,80.13734436035156,81.91803741455078,80.76319122314453,80.61701965332031,80.94081115722656,81.02117919921875,81.60244750976562,80.8199234008789,81.0104751586914,81.12187957763672
2021-01-29,79.5,79.48674011230469,81.21603393554688,80.35478210449219,80.05554962158203,80.7559814453125,80.41150665283203,81.11781311035156,80.31959533691406,80.80071258544922,80.5687255859375
2021-02-01,77.39999389648438,79.62580871582031,80.23435974121094,79.6201171875,78.95413208007812,80.01103973388672,79.35954284667969,79.99418640136719,78.882568359375,80.12406158447266,79.511474609375
2021-02-02,78.0999984741211,77.84440612792969,78.50186920166016,78.40311431884766,77.45574188232422,78.80374145507812,77.82250213623047,78.60453033447266,77.2985610961914,79.01377868652344,78.00202178955078
2021-02-03,79.4000015258789,78.05288696289062,78.91848754882812,77.78681182861328,77.6540756225586,77.87939453125,77.51901245117188,78.28180694580078,77.43160247802734,78.13175964355469,77.58016967773438
